25.66,11.19,54.04,3.19,54.16,22.82,25.54,29.82,number
26.29,32.19,54.66,25.32,54.54,44.19,26.16,50.94,number
26.04,53.19,54.41,46.57,54.04,65.82,25.91,71.82,number
26.04,73.82,25.91,92.57,55.04,87.19,55.29,67.32,number
26.16,94.32,26.66,113.32,55.04,108.19,54.91,88.44,number
26.29,114.69,26.79,133.69,55.29,128.94,55.66,110.19,number
26.79,135.32,26.79,153.94,54.41,150.19,55.29,130.94,number
26.29,155.57,26.16,174.69,55.79,171.44,55.66,151.44,number
26.79,253.57,25.91,276.57,56.04,275.69,56.41,251.82,number
26.29,281.69,25.29,305.32,54.66,303.57,55.91,279.57,number
25.79,311.32,25.54,336.07,54.79,335.44,55.66,309.82,number
23.54,355.44,53.29,354.94,53.04,378.44,23.29,378.82,number
25.66,385.32,25.66,409.32,54.54,409.57,55.04,385.19,number
26.54,417.44,26.16,440.32,55.29,440.82,55.54,417.69,number
25.29,457.19,25.04,481.19,54.16,483.07,54.41,458.82,number
22.86,181.11,21.26,238.14,154.87,245.83,157.44,190.08,plate
