52.67,7.88,57.21,62.26,122.02,56.82,117.94,2.44,number
64.46,77.67,66.72,130.70,129.72,129.34,127.46,74.50,number
68.08,146.56,73.07,199.13,136.97,198.23,131.53,146.56,number
74.88,226.78,80.32,276.63,139.24,277.99,136.52,228.14,number
84.40,298.39,88.93,347.34,147.40,352.32,142.86,301.56,number
90.45,354.66,93.67,400.76,153.35,408.27,148.70,359.67,number
92.24,420.42,97.24,465.45,154.78,474.02,150.85,426.14,number
101.18,492.60,106.89,539.06,164.43,549.42,161.21,502.61,number
106.89,545.49,110.82,590.88,169.79,604.10,164.78,557.29,number
110.47,605.17,113.33,650.56,172.29,665.21,169.79,618.39,number
119.04,674.50,122.97,717.74,179.79,733.82,175.86,688.08,number
139.06,742.78,148.09,842.17,389.05,792.47,386.04,697.60,plate
