98.19,36.37,105.03,91.05,51.37,100.96,45.73,48.67,number
53.94,120.06,108.46,110.48,115.20,163.58,60.29,171.09,number
63.01,203.08,115.85,197.77,121.80,248.93,67.93,252.81,number
72.72,278.32,128.67,275.48,133.72,326.50,78.03,327.02,number
79.97,335.18,132.55,335.44,137.86,385.56,85.54,383.23,number
85.10,403.58,139.22,405.08,143.35,453.46,90.60,450.21,number
97.10,480.33,150.72,484.71,154.10,533.21,101.60,524.83,number
103.35,536.21,156.22,543.46,160.10,589.33,107.85,579.83,number
108.97,597.46,160.47,608.21,164.10,653.33,113.60,639.96,number
118.47,669.46,168.35,682.46,173.35,726.71,122.97,710.08,number
