317.24,46.93,316.12,83.11,369.05,76.64,369.27,39.79,number
318.42,86.84,318.42,120.60,369.66,113.73,370.64,79.57,number
319.60,121.78,319.01,156.72,370.45,151.42,370.84,115.69,number
321.37,157.70,320.78,191.47,372.02,187.74,373.59,152.60,number
321.17,192.64,320.78,226.41,373.19,222.68,372.80,188.91,number
323.62,228.16,323.99,261.27,374.31,258.87,374.86,224.83,number
320.29,262.20,319.74,295.13,369.13,293.65,368.94,260.17,number
322.33,296.61,321.22,330.27,371.72,330.09,373.01,296.24,number
322.70,330.64,323.07,363.75,373.01,364.31,373.01,331.38,number
322.88,364.86,323.44,398.53,374.31,398.53,373.38,364.86,number
254.19,506.62,253.65,541.29,281.75,548.94,281.03,512.49,number
253.30,544.49,253.83,581.65,281.39,591.07,281.03,552.85,number
256.50,594.27,256.68,631.08,284.41,642.64,283.70,605.83,number
256.01,636.40,257.46,671.67,282.91,684.88,282.58,648.97,number
257.14,692.28,257.95,725.78,283.71,740.43,282.91,705.01,number
256.66,732.06,257.78,765.56,284.68,783.11,282.91,748.00,number
258.43,784.08,258.59,817.73,284.68,836.41,284.36,801.79,number
259.39,821.92,259.72,855.74,284.03,874.58,283.55,840.60,number
261.17,862.50,262.13,895.84,286.45,915.00,284.84,881.34,number
262.29,899.70,263.10,934.00,288.54,954.13,287.25,919.51,number
261.97,937.54,261.81,971.04,287.09,993.10,286.93,959.77,number
261.97,974.26,262.29,1007.27,287.90,1030.62,286.93,997.29,number
