111.60,40.00,112.24,79.85,173.31,71.42,171.69,32.87,number
27.85,213.33,29.31,258.03,64.94,257.71,63.16,211.54,number
28.66,263.22,29.79,305.98,64.78,308.41,64.30,262.89,number
33.36,322.51,33.19,366.24,70.13,372.56,69.32,326.39,number
33.19,374.02,34.33,416.62,68.02,425.53,67.37,379.36,number
34.33,439.78,35.62,482.55,70.13,494.86,68.99,449.34,number
35.79,489.03,37.24,531.15,69.96,545.56,68.67,502.31,number
37.57,551.23,38.22,593.19,69.64,611.49,70.61,568.56,number
39.03,598.21,71.10,615.87,71.10,658.31,39.84,638.22,number
41.29,645.51,41.94,685.68,74.01,707.87,73.53,665.11,number
43.40,691.68,45.34,732.50,75.96,755.66,75.31,713.06,number
43.24,736.55,75.15,762.14,75.63,803.29,43.56,776.07,number
125.00,86.53,126.76,197.31,371.75,198.48,372.93,94.15,plate
