192.79,36.57,191.91,59.57,222.04,58.69,222.41,34.82,number
192.29,64.69,191.29,88.32,220.66,86.57,221.91,62.57,number
191.79,94.32,191.54,119.07,220.79,118.44,221.66,92.82,number
189.54,138.44,219.29,137.94,219.04,161.44,189.29,161.82,number
191.66,168.32,191.66,192.32,220.54,192.57,221.04,168.19,number
192.54,200.44,192.16,223.32,221.29,223.82,221.54,200.69,number
191.29,240.19,191.04,264.19,220.16,266.07,220.41,241.82,number
191.79,277.19,191.29,300.94,220.41,303.57,220.29,279.57,number
192.29,305.44,192.29,329.07,221.66,331.57,220.79,308.57,number
190.29,344.57,190.16,369.32,220.16,371.57,219.91,347.82,number
190.16,380.07,219.41,383.57,219.54,407.19,190.41,403.82,number
190.41,413.69,190.29,437.19,219.29,441.32,218.91,417.82,number
189.91,446.32,189.41,470.32,219.04,474.82,218.79,451.19,number
190.29,479.19,190.04,503.19,219.79,509.32,219.66,485.94,number
189.29,512.44,188.66,534.32,219.16,541.57,219.04,518.07,number
