13.63,175.91,71.01,164.83,71.99,206.69,14.12,216.54,number
16.34,219.00,72.98,209.40,74.21,251.26,17.33,258.40,number
17.33,260.86,74.70,254.22,75.69,295.09,18.80,300.51,number
19.79,304.20,80.86,298.78,83.07,339.66,21.02,343.60,number
22.64,344.97,80.64,342.47,82.51,381.22,25.39,383.72,number
25.01,386.34,81.14,384.47,81.89,423.09,26.51,424.09,number
26.01,426.47,82.89,426.97,84.26,464.97,27.76,463.59,number
27.89,466.59,28.76,503.72,85.14,505.47,84.26,467.47,number
28.89,506.09,86.01,508.22,86.64,546.34,29.26,543.22,number
30.64,545.84,86.51,549.34,87.51,586.34,31.26,583.59,number
31.64,590.34,33.14,625.59,88.14,630.97,87.01,593.84,number
33.89,627.34,88.64,633.34,90.26,669.97,35.26,663.59,number
35.76,666.59,90.51,673.34,92.39,709.84,36.89,701.47,number
37.39,704.46,91.89,712.84,93.01,749.59,38.14,739.09,number
38.76,742.34,92.51,752.09,93.51,788.09,39.51,776.84,number
39.76,779.84,93.64,792.21,94.64,827.34,40.51,814.59,number
41.64,818.59,93.76,831.09,95.01,865.96,42.76,852.09,number
17.31,38.90,20.00,156.34,285.60,167.65,285.60,54.52,plate
