87.32,223.18,87.32,272.05,154.91,260.94,154.91,207.95,number
89.94,274.19,90.45,322.68,158.08,313.49,157.57,264.49,number
91.47,324.21,91.98,372.70,159.61,366.07,158.85,317.32,number
94.53,376.78,96.06,424.76,164.21,418.64,162.93,370.40,number
96.57,426.30,98.87,473.00,166.25,469.94,164.46,421.19,number
98.79,474.41,100.38,521.32,168.59,519.96,167.46,472.37,number
101.28,522.91,103.10,569.37,169.04,569.59,167.23,522.68,number
103.10,570.95,103.78,617.18,171.53,618.77,169.95,572.77,number
105.14,618.77,105.82,663.87,170.86,667.72,170.86,621.49,number
105.82,665.91,108.08,712.36,173.35,716.67,171.53,669.99,number
107.71,716.97,110.35,761.99,175.71,769.46,172.91,723.24,number
110.98,763.58,112.74,807.14,177.78,815.93,175.83,771.39,number
90.64,57.87,93.63,200.34,414.45,215.29,413.45,74.80,plate
