194.66,11.19,223.04,3.19,223.16,22.82,194.54,29.82,number
195.29,32.19,223.66,25.32,223.54,44.19,195.16,50.94,number
195.04,53.19,223.41,46.57,223.04,65.82,194.91,71.82,number
195.04,73.82,194.91,92.57,224.04,87.19,224.29,67.32,number
195.16,94.32,195.66,113.32,224.04,108.19,223.91,88.44,number
195.29,114.69,195.79,133.69,224.29,128.94,224.66,110.19,number
195.79,135.32,195.79,153.94,223.41,150.19,224.29,130.94,number
195.29,155.57,195.16,174.69,224.79,171.44,224.66,151.44,number
195.79,253.57,194.91,276.57,225.04,275.69,225.41,251.82,number
195.29,281.69,194.29,305.32,223.66,303.57,224.91,279.57,number
194.79,311.32,194.54,336.07,223.79,335.44,224.66,309.82,number
192.54,355.44,222.29,354.94,222.04,378.44,192.29,378.82,number
194.66,385.32,194.66,409.32,223.54,409.57,224.04,385.19,number
195.54,417.44,195.16,440.32,224.29,440.82,224.54,417.69,number
194.29,457.19,194.04,481.19,223.16,483.07,223.41,458.82,number
194.79,494.19,194.29,517.94,223.41,520.57,223.29,496.57,number
195.29,522.44,195.29,546.07,224.66,548.57,223.79,525.57,number
193.29,561.57,193.16,586.32,223.16,588.57,222.91,564.82,number
193.16,597.07,222.41,600.57,222.54,624.19,193.41,620.82,number
193.41,630.69,193.29,654.19,222.29,658.32,221.91,634.82,number
192.91,663.32,192.41,687.32,222.04,691.82,221.79,668.19,number
193.29,696.19,193.04,720.19,222.79,726.32,222.66,702.94,number
192.29,729.44,191.66,751.32,222.16,758.57,222.04,735.07,number
191.86,181.11,190.26,238.14,323.87,245.83,326.44,190.08,plate
