0.09,96.43,0.46,117.31,25.21,113.06,25.09,92.43,number
0.21,121.93,0.46,142.18,25.84,138.43,25.59,118.06,number
0.84,146.56,0.96,166.18,25.71,163.18,25.71,143.68,number
2.96,174.68,3.59,194.93,27.71,192.06,27.34,172.18,number
4.09,205.43,4.34,225.68,28.84,221.93,28.59,201.81,number
7.23,284.79,8.23,300.54,32.73,299.41,31.98,283.16,number
8.36,301.79,8.98,316.79,33.48,315.91,32.86,301.04,number
8.86,318.29,9.36,333.16,33.61,332.41,33.23,317.16,number
9.61,334.16,10.23,349.79,34.61,349.16,33.73,333.41,number
10.23,350.54,10.36,366.29,35.48,366.41,34.86,350.16,number
11.36,367.54,11.86,382.66,35.98,382.54,35.48,367.16,number
11.86,383.66,12.11,398.66,36.73,398.91,36.23,383.41,number
12.48,399.91,12.48,414.41,37.23,415.04,36.61,400.16,number
12.61,415.54,12.98,431.66,38.36,432.54,37.61,416.66,number
15.52,492.93,15.39,513.18,40.27,515.55,40.02,494.43,number
16.27,516.18,15.89,535.18,39.64,537.80,39.64,518.43,number
16.89,540.68,16.52,560.05,41.52,562.55,41.14,543.18,number
16.02,573.55,16.14,594.05,40.02,598.18,39.64,576.93,number
19.02,598.18,19.14,618.68,42.52,622.05,42.27,601.80,number
20.02,623.43,20.27,644.43,44.52,647.55,44.02,626.93,number
20.64,656.18,20.27,676.68,44.64,681.93,44.39,662.18,number
21.52,686.30,21.27,706.30,45.27,711.43,45.02,692.18,number
22.77,709.43,23.39,729.43,46.77,734.80,46.52,714.80,number
22.64,741.43,23.02,761.55,47.27,767.55,46.52,747.05,number
1.70,5.74,1.70,52.03,107.15,60.23,106.57,14.53,plate
11.55,230.19,13.27,276.75,120.15,275.98,118.12,230.78,plate
11.39,437.77,11.73,484.68,118.46,478.90,117.78,434.71,plate
